year,official_state_count,entities_in_panel_count,fifa_confederation_mapped_entities_count,official_state_count_AFC,official_state_count_CAF,official_state_count_CONCACAF,official_state_count_CONMEBOL,official_state_count_OFC,official_state_count_UEFA,official_state_count_Unknown,definition,primary_source
1930,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1931,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1932,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1933,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1934,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1935,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1936,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1937,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1938,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1939,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1940,83,140,133,19,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1941,80,137,130,19,7,13,10,1,29,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1942,80,137,130,19,7,13,10,1,29,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1943,81,138,131,20,7,13,10,1,29,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1944,81,138,131,20,7,13,10,1,29,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1945,81,138,131,20,7,13,10,1,29,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1946,82,139,132,21,7,13,10,1,29,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1947,84,141,134,23,7,13,10,1,29,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1948,87,144,137,25,7,13,10,1,30,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1949,90,147,140,26,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1950,90,148,141,26,7,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1951,91,149,142,26,8,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1952,91,149,142,26,8,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1953,93,151,144,28,8,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1954,94,152,145,29,8,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1955,95,153,146,30,8,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1956,98,156,149,30,11,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1957,100,157,150,31,12,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1958,101,158,151,31,13,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1959,101,158,151,31,13,13,10,1,32,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1960,117,174,167,31,28,13,10,1,33,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1961,121,178,171,32,31,13,10,1,33,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1962,127,184,177,32,34,15,10,2,33,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1963,129,186,179,32,36,15,10,2,33,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1964,132,189,182,32,38,15,10,2,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1965,133,190,183,34,37,15,10,2,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
